Id,HrmEmployeeId,Organization,Designation,Department,DateFrom,DateTo,Responsibilities
1,220,Le Gemelle Pizza,TM,F&B,00:00.0,00:00.0,"1. Ensure proper opening and closing
2. Customer care 
3. Quality control 
4. inventory and indents "
2,220,"Quwait food company (Americana) 
Company location - UAE (sharja)",Shift Supervisor ,F&B,00:00.0,00:00.0,"1. Shift management
2. Ensure proper opening and closing 
3. Customer care 
4. Food safety
5. Problem solving
6. Corresponding to the manager 
7. To train newly hired staffs"
3,220,"ooredoo Tel
Location Doha (Qatar)",Shift manager ,F&B,00:00.0,00:00.0,"1. Brand service quality control 
2. Schedule conduct and Follow up
3. Ensure proper promotional acts
4. prepare service and recovery report "
4,220,"Royal tulip sea pearl beach resort & spa 
Location :  inani-cox Bazar  ",Assistant Restaurant manager ,F&B,00:00.0,00:00.0,"1. Shift management 
2. customer care 
3. Time management
4. Cost control
5. Prepare weekly & monthly business review report "
5,220,"SABARRO Bangladesh 
Location ;  Gulshan 2 boshoti avineu ",Restaurant Manager ,F&B,00:00.0,00:00.0,"1. Restaurant management 
2. sales develop 
3. corresponding to the (HOD)
4. Analyses guest insight to identify and meet customer expectation and build on guest loyalty"
6,221,Active Fine Chemical Limited ,Assistant Manager ,NULL,00:00.0,00:00.0,"1. Assuring the sourcing purchase & procurement of 100+ different pharmaceutical ingredients.  
2. leading a team of 5 people , distributing task among them and evaluating performance ."
7,221,Active Fine Chemical Ltd,Sr. Officer ,NULL,00:00.0,00:00.0,.
8,222,KFC (UAE),Team Member ,F&B,00:00.0,00:00.0,Follow the standard operation procedure  
9,222,Nascent Gardenia ,Waiter,F&B,00:00.0,00:00.0,Make customer happy 
10,222,Pizza inn,Supervisor ,F&B,00:00.0,00:00.0,"monitoring, supervise, and evaluation ."
11,222,Eden Cafe,Shift Manager,F&B,00:00.0,00:00.0,Follow up the employee and making sure to satisfy the customer 
12,223,Seven 24 Restaurant ,Shift Manager ,F&B,00:00.0,00:00.0,Maintain the standard operation procedure  
13,223,Pizza Hut,Buddy Trainer ,F&B,00:00.0,00:00.0,"1. Train newly hired staff .
2. POS Control"
14,224,"WY & spa, Poland",Shift Chef,F&B,00:00.0,00:00.0,"1. Responsible for all kitchen operation in absence of sous chef.
2. supervising staff and preparing staff duty roster.
3. Keeping accurate record of hygiene and Health and Safety report."
15,224,Radisson Blu Chattogram Bay View,chef de partie ,F&B,00:00.0,00:00.0,"1. Responsible for all kitchen operation in absence of sous chef.
2. supervising staff and preparing staff duty roster.
3. Keeping accurate record of"
16,224,"Atlantis the palm, Dubai",Commis 1,F&B,00:00.0,00:00.0,"1. Responsible for all kitchen operation in absence of sous chef.
2. supervising staff and preparing staff duty roster.
3. Keeping accurate record of Hygiene and health safety."
17,224,"Saffron in atlantis the palm, Dubai",Commis 3 ,F&B,00:00.0,00:00.0,"1. ordering all types of items .
2. responsible for section handling.
3. taking care of buffet refilling . "
18,224,Dhaka Sheraton Hotel,Trainee Food and beverage production ,F&B,00:00.0,00:00.0,.
19,226,"Burger Express
Baily Road",Housekeeper,Housekeeper,00:00.0,00:00.0,1. Maintain all the items properly 
20,227,Nandos Bangladesh,Team Leader ,F&B,00:00.0,00:00.0,Maintain team relation 
21,227,"Ecstacy BD
Boshundhara City 
Level 7 ",Sales Executive & floor DS,Casual Section,00:00.0,00:00.0,"Sell product
managing own section
talk to customer 
answaring question "
22,227,Vasa Apparels,Store Helper & computer operator ,store,00:00.0,00:00.0,Taking care of store and product quality 
23,228,"Gloria Jean's Coffees, Bangladesh",Supervisor ,NULL,00:00.0,00:00.0,Supervising the process of work 
24,228,The Midori by lakeshore Hotel ,Waiter,service ,00:00.0,00:00.0,Serve the customer 
25,229,"Nandos
Dhanmondi 9/a",Barista ,NULL,00:00.0,00:00.0,Always maintain the test of coffee  
